District,Local Government,Network,Investment ID,Investment Name, 2024-25 to 2027-28 total budget ($'000) ,Committed total budget ($'000),Australian Government contribution ($’000),Queensland Government contribution ($’000),Local Government/Other Contribution ($’000),Estimated expenditure to 30 June 2024 ($’000),2024-25 ($’000), 2025-26 ($’000),2025-26 to 2026-27 ($'000),2026-27 to 2027-28 ($'000),2026-27 ($’000),2027-28 ($’000),Beyond ($’000),Endnotes,Web Link,Map,Midpoint Latitude,Midpoint Longitude
Darling Downs,Western Downs Regional,State,3044774,"Bunya Highway (Dalby - Kingaroy) and Patrick Street, upgrade intersection",2090440,2100500,0,2100500,0,10060,387940,1035500,667000,667000,667000,0,0,Safer Roads Sooner Program,,1,-27.179876,151.264549
Darling Downs,Western Downs Regional,State,2822667,"Dalby - Cecil Plains Road, 2022 Disaster Recovery Funding Arrangements betterment works",2785021,2848295,1424148,1424147,0,63274,1981275,803746,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.36819,151.269769
Darling Downs,Western Downs Regional,State,2867966,"Dalby - Kogan Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",3684664,4529664,3397248,1132416,0,845000,3385459,299205,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.117906,151.078349
Darling Downs,Western Downs Regional,State,2520040,"Kogan - Condamine Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",1335717,2934494,2200871,733623,0,1598777,1068945,266772,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.959169,150.628444
Darling Downs,Western Downs Regional,State,2520117,"Leichhardt Highway (Miles - Goondiwindi), 2022 Disaster Recovery Funding Arrangements reconstruction works",10368894,11846423,8884818,2961605,0,1477529,3839440,6529454,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.185706,150.170801
Darling Downs,Western Downs Regional,State,2857325,Leichhardt Highway (Taroom - Miles) 2022 Disaster Recovery Funding Arrangements reconstruction works,5828574,7478349,5608762,1869587,0,1649775,2233219,3595355,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-26.268495,150.051238
Darling Downs,Western Downs Regional,State,1634904,"Macalister - Bell Road (Macalister), rehabilitate pavement, overlay and seal",1075800,3632842,0,3632842,0,2557042,1075800,0,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-26.999106,151.136925
Darling Downs,Western Downs Regional,State,2519477,"Meandarra - Talwood Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",1171597,1270878,953159,317719,0,99281,1056063,115534,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.624156,149.751192
Darling Downs,Western Downs Regional,State,2805115,"Roma - Condamine Road (Condamine), rehabilitate and widen pavement",1700800,1700800,0,1700800,0,0,0,1700800,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-26.892647,149.784315
Darling Downs,Western Downs Regional,State,2893613,"Surat Developmental Road, 2022 Disaster Recovery Funding Arrangements reconstruction works",3915949,4298700,3224025,1074675,0,382751,3525158,390791,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-27.377846,150.024031
Darling Downs,Various local governments,National,2287642,"Darling Downs District, priority freight network flood study, planning",2135571,3100000,0,3100000,0,964429,985571,850000,300000,300000,300000,0,0,,,0,,
Darling Downs,Various local governments,State,2677439,"Cunningham Highway (Warwick - Inglewood), improve safety",16014567,16885000,0,16885000,0,870433,4500000,8981817,2532750,2532750,2532750,0,0,High Risk Roads Initiative,,1,-28.265128,151.53437
Darling Downs,Various local governments,State,3151493,Rest areas and stopping places management,1709000,1709000,0,1709000,0,0,1709000,0,0,0,0,0,0,,,0,,
Darling Downs,Various local governments,State,1316582,"Safety and critical maintenance program, planning",190000,1386252,0,1386252,0,1196252,190000,0,0,0,0,0,0,,,0,,
Darling Downs,Other works,,,Construction Works,19971095,0,11984667,7986428,0,0,2108710,10838559,7023826,7023826,5027383,1996443,0,,,0,,
Darling Downs,Other works,,,Corridor and Minor Safety Enhancements,21023685,0,782061,20241624,0,0,9596731,6855244,4571710,4571710,2830023,1741687,0,,,0,,
Darling Downs,Other works,,,"Corridor, Roadway and Structures Management",3864580,0,0,3864580,0,0,965515,948986,1950079,1950079,968257,981822,0,,,0,,
Darling Downs,Other works,,,Local Government Transport Development,20320548,0,2329946,17990602,0,0,6288442,4067989,9964117,9964117,3725507,6238610,0,,,0,,
Darling Downs,Other works,,,Natural Disaster Rehabilitation and Replacement,90317095,0,66987838,23329257,0,0,37036875,53280220,0,0,0,0,0,,,0,,
Darling Downs,Other works,,,Programmed Maintenance,99742468,0,7933192,91809276,0,0,25806507,24996508,48939453,48939453,24669586,24269867,0,,,0,,
Darling Downs,Other works,,,Rehabilitation,126262331,0,7393887,118868444,0,0,41084376,26979366,58198589,58198589,28359805,29838784,0,,,0,,
Darling Downs,Other works,,,Routine Maintenance,149985097,0,10128726,139856371,0,0,37010926,34465298,78508873,78508873,36477405,42031468,0,,,0,,
Darling Downs,Other works,,,Traffic Management Enhancements,6332000,0,500000,5832000,0,0,1732000,2130000,2470000,2470000,2470000,0,0,,,0,,
Darling Downs,Other works,,,Traffic Operations,3592000,0,263000,3329000,0,0,3592000,0,0,0,0,0,0,,,0,,
Darling Downs,Other works,,,Transport Planning,8018130,0,0,8018130,0,0,1520003,1600000,4898127,4898127,2598127,2300000,0,,,0,,
South West,Balonne Shire,State,2744073,"Castlereagh Highway (St George - Hebel), 2022 Disaster Recovery Funding Arrangements betterment works",8552142,9913986,7435490,2478496,0,1361844,7019996,1532146,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.80512,148.108644
South West,Balonne Shire,State,2459935,"Castlereagh Highway (St George - Hebel), 2022 Disaster Recovery Funding Arrangements reconstruction works",3366813,5177308,3882982,1294326,0,1810495,1964076,1402737,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-28.80512,148.108644
South West,Balonne Shire,State,3078817,"Castlereagh Highway (St George - Hebel), upgrade stopping place",1175000,1200000,0,1200000,0,25000,975000,200000,0,0,0,0,0,,,1,-28.970771,147.796593
South West,Bulloo Shire,State,1147343,"Quilpie - Thargomindah Road (Thargomindah), various locations, construct to sealed standard",707000,5540377,0,5540377,0,4833377,707000,0,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-27.837978,144.049518
South West,Bulloo Shire,Local,2707280,"Warri Gate Road (Stage 1), Noccundra Waterhole, construct to sealed standard",4000000,10000000,8000000,0,2000000,4000000,4000000,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,1,-28.243609,142.091528
South West,Maranoa Regional,National,2428184,"Warrego Highway (Miles - Roma) and Wallumbilla South Road, improve intersection",4219259,5218431,2609216,2609215,0,999172,4219259,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.586798,149.185455
South West,Maranoa Regional,National,3136585,"Warrego Highway (Miles - Roma), Colts rest area, upgrade rest area and facilities",1400000,1400000,1120000,0,280000,0,1400000,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-26.575471,148.802393
South West,Maranoa Regional,National,2427821,"Warrego Highway (Miles - Roma), pavement widening and culverts",29529064,30237979,15118990,15118989,0,708915,14764532,14764532,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.585834,149.150304
South West,Maranoa Regional,State,3031854,"Carnarvon Highway (Roma - Injune), May Street to Airport Drive, construct shared path",3822500,4012500,2006250,2006250,0,190000,3822500,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-26.555293,148.785263
South West,Maranoa Regional,State,2323775,"Carnarvon Highway (Surat - Roma), Balonne River Surat, upgrade bridge and approaches, planning",195349,674404,0,674404,0,479055,95349,100000,0,0,0,0,0,,,1,-27.147077,149.072271
South West,Maranoa Regional,Local,2707186,"Bollon Road, construct to sealed standard",6000000,13706000,12000000,0,1706000,6000000,6000000,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,1,-27.020459,147.625674
South West,Maranoa Regional,Local,2707251,"Redford Road and Yuleba - Surat Road, construct to sealed standard",12000000,15000000,12000000,0,3000000,0,12000000,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,0,,
South West,Murweh Shire,National,3078755,"Landsborough Highway (Morven - Augathella), upgrade rest area facilities",1165000,1200000,0,1200000,0,35000,1065000,100000,0,0,0,0,0,,,1,-26.078983,146.817703
South West,Murweh Shire,National,2563317,"Warrego Highway (Mitchell - Morven), rehabilitate pavement",10463117,13802897,0,13802897,0,3339780,5313332,5149785,0,0,0,0,0,,,1,-26.414921,147.109341
South West,Paroo Shire,State,2675671,"Bulloo Developmental Road (Cunnamulla - Thargomindah), Paroo River Bridge upgrade, planning",274945,500000,0,500000,0,225055,224945,50000,0,0,0,0,0,,,1,-28.161384,145.037202
South West,Paroo Shire,Local,3140155,"Eulo - Toompine Road, widen floodways and culverts",355000,710000,0,355000,355000,0,355000,0,0,0,0,0,0,,,1,-27.902051,144.739554
South West,Paroo Shire,Local,3140243,"Eulo - Toompine Road, widen pavement",692500,1385000,0,692500,692500,0,692500,0,0,0,0,0,0,,,1,-27.682933,144.585029
South West,Quilpie Shire,State,1166971,"Quilpie - Adavale Road, various locations, upgrade seal and floodways",1047500,9320568,0,6583215,2737353,8273068,1047500,0,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-26.114434,144.527084
South West,Various local governments,State,453814,"Safety and critical maintenance program, planning",612992,1305040,0,1305040,0,692048,162992,150000,300000,300000,150000,150000,0,,,0,,
South West,Other works,,,Construction Works,2068294,0,1082235,986059,0,0,846252,1222042,0,0,0,0,0,,,0,,
South West,Other works,,,Corridor and Minor Safety Enhancements,6490776,0,181529,6309247,0,0,3631247,1547843,1311686,1311686,647843,663843,0,,,0,,
South West,Other works,,,"Corridor, Roadway and Structures Management",1810254,0,0,1810254,0,0,421194,454484,934576,934576,460733,473843,0,,,0,,
South West,Other works,,,Local Government Transport Development,30260273,0,4953000,25307273,0,0,9013754,7082173,14164346,14164346,7082173,7082173,0,,,0,,
South West,Other works,,,Natural Disaster Rehabilitation and Replacement,1468418,0,1026315,442103,0,0,781318,687100,0,0,0,0,0,,,0,,
South West,Other works,,,Programmed Maintenance,70513872,0,1991752,68522120,0,0,17400493,17271607,35841772,35841772,17673132,18168640,0,,,0,,
South West,Other works,,,Rehabilitation,26753959,0,1538921,25215038,0,0,4324954,5058804,17370201,17370201,8465516,8904685,0,,,0,,
South West,Other works,,,Routine Maintenance,104550196,0,3242521,101307675,0,0,25960095,27109432,51480669,51480669,24722295,26758374,0,,,0,,
South West,Other works,,,Traffic Operations,135000,0,0,135000,0,0,135000,0,0,0,0,0,0,,,0,,
South West,Other works,,,Transport Planning,1267606,0,0,1267606,0,0,167606,700000,400000,400000,400000,0,0,,,0,,
Fitzroy,Banana Shire,State,2340083,"Fitzroy Developmental Road (Taroom - Bauhinia), 2022 Disaster Recovery Funding Arrangements reconstruction works",3261756,7785932,5839449,1946483,0,4524176,3261756,0,0,0,0,0,0,Funding administered by the Queensland Reconstruction Authority.,,1,-25.34805,149.670359
Fitzroy,Banana Shire,Local,2722959,"Cracow Road, improve safety",1654235,4136000,3308470,0,827530,1654235,1654235,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,1,-25.572729,150.058107
Fitzroy,Banana Shire,Local,2356436,"Injune Road (Taroom), seal, widen and repair drainage",4684000,5855000,4684000,0,1171000,0,120000,3840000,724000,724000,724000,0,0,,,1,-25.665096,149.432094
Fitzroy,Banana Shire,Local,1880675,"Theodore - Moura Road, overlay asphalt",500000,3812384,0,1906192,1906192,1406192,500000,0,0,0,0,0,0,,,1,-24.564763,149.977996
Fitzroy,Central Highlands Regional,State,1509453,"Capricorn Highway (Duaringa - Emerald) and Gregory Highway (Springsure - Emerald), improve intersection",13538903,14880000,11904000,2976000,0,1341097,3000000,3538903,7000000,7000000,3500000,3500000,0,,,1,-23.535536,148.173724
Fitzroy,Central Highlands Regional,State,3026802,"Capricorn Highway (Duaringa - Emerald), undertake road safety improvements",21000000,24000000,12000000,12000000,0,3000000,10500000,10500000,0,0,0,0,0,Australian Government Road Safety Program,,1,-23.579295,148.368802
Fitzroy,Central Highlands Regional,State,2335273,"Capricorn Highway (Emerald - Alpha) (Package 1), strengthen and widen pavement, funding commitment",50000000,75000000,60000000,15000000,0,0,0,3750000,46250000,46250000,17973513,28276487,25000000,Project details and timing is subject to further planning and negotiation with the Australian Government.,,1,-23.700207,147.400259
Fitzroy,Central Highlands Regional,State,2338131,"Capricorn Highway (Emerald - Alpha) (Package 3), strengthen and widen pavement, funding commitment",19570000,19570000,15656000,3914000,0,0,0,0,19570000,19570000,0,19570000,0,,,1,-23.687658,147.446343
Fitzroy,Central Highlands Regional,State,1509578,"Dawson Developmental Road (Springsure - Tambo), pave and seal",2207827,5000000,4000000,1000000,0,2792173,2207827,0,0,0,0,0,0,,,1,-24.281446,147.562188
Fitzroy,Central Highlands Regional,State,2515815,"Dawson Developmental Road (Springsure - Tambo), priority upgrades, funding commitment",24777341,25537500,20430000,5107500,0,760159,8089841,6250000,10437500,10437500,10437500,0,0,,,1,-24.449498,147.141958
Fitzroy,Central Highlands Regional,State,3161934,"Fitzroy Developmental Road (Bauhinia - Duaringa), pave and seal",10000000,10000000,8000000,2000000,0,0,500000,3000000,6500000,6500000,6500000,0,0,Australian Government Queensland Beef Corridors Program,,1,-24.231615,149.471636
Fitzroy,Central Highlands Regional,Local,2356274,"Bonnie Doon Road (Emerald), seal and upgrade bridge",9600000,12000000,9600000,0,2400000,0,9600000,0,0,0,0,0,0,,,1,-23.099359,147.971285
Fitzroy,Central Highlands Regional,Local,2721644,"Glenlee Road, pave and seal",1515464,3030928,0,1515464,1515464,0,0,779015,736449,736449,736449,0,0,,,1,-24.006391,147.645223
Fitzroy,Central Highlands Regional,Local,2618942,"Withersfield - Willows Road (Willows), Blackboy Creek, replace bridge",1440000,3000000,2400000,0,600000,960000,1440000,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-23.611774,147.513322
Fitzroy,Central Highlands Regional,Local,1545800,"Wyntoon Road, pave and seal",1346015,3618030,0,1809015,1809015,463000,596015,750000,0,0,0,0,0,,,1,-23.929539,148.340697
Fitzroy,Gladstone Regional,National,1193429,"Access to Gladstone Port, improve heavy vehicle access, funding commitment",85000000,125000000,100000000,25000000,0,0,2000000,13000000,70000000,70000000,70000000,0,40000000,"The project is in the pre-business case stage, with scope, cost and timing subject to further planning and business case development, and consideration.",https://www.tmr.qld.gov.au/projects/access-to-gladstone-port-project ,1,-23.843949,151.257513
Fitzroy,Gladstone Regional,National,1454810,"Bruce Highway (Benaraby - Rockhampton), Raglan Creek, upgrade bridge",7345155,8840000,7072000,1768000,0,1494845,2345155,5000000,0,0,0,0,0,,,1,-23.755305,150.866111
Fitzroy,Gladstone Regional,National,1454793,"Bruce Highway (Gin Gin - Benaraby), Station Creek and Boyne River, upgrade bridges",12799734,13800000,11040000,2760000,0,1000266,6493556,4306178,2000000,2000000,2000000,0,0,,,1,-24.488002,151.601214
Fitzroy,Gladstone Regional,National,2188514,"Gladstone - Mount Larcom Road, Calliope River Bridge and Calliope River Anabranch Bridge, planning",849837,1500000,0,1500000,0,650163,849837,0,0,0,0,0,0,,,1,-23.845884,151.211584
Fitzroy,Gladstone Regional,Local,2274820,"Glenlyon Street and Tank Street (Gladstone), improve intersection",554000,1108000,1108000,0,0,554000,554000,0,0,0,0,0,0,Australian Government Black Spot Program,,1,-23.850028,151.257386
Fitzroy,Gladstone Regional,Local,2725506,"Lowmead Road, upgrade unsealed to sealed road",5350400,13376000,10700800,0,2675200,5350400,5350400,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,1,-24.567317,151.790944
Fitzroy,Gladstone Regional,Local,2743913,"Red Rover Road (Gladstone), strengthen bridge",1404986,1926233,1540986,0,385247,136000,561994,842992,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-23.862995,151.217806
Fitzroy,Gladstone Regional,Local,1899324,"Turkey Beach Road, improve safety",1067329,3074658,0,1537329,1537329,470000,1067329,0,0,0,0,0,0,,,1,-24.131692,151.599308
Fitzroy,Livingstone Shire,State,1192019,"Rockhampton - Yeppoon Road, Yeppoon Road upgrade",59517399,122000000,85000000,37000000,0,56591991,39500000,9017399,11000000,11000000,6000000,5000000,5890610,,https://www.tmr.qld.gov.au/projects/yeppoon-road-upgrade-project ,1,-23.249478,150.605832
Fitzroy,Livingstone Shire,State,3057006,"Western Yeppoon - Emu Park Road (Tanby Road) and Taranganba Road (Taroomball), upgrade intersection",5736000,5736000,0,5736000,0,0,202500,5533500,0,0,0,0,0,Safer Roads Sooner Program,,1,-23.156092,150.742846
Fitzroy,Livingstone Shire,State,3021583,"Western Yeppoon - Emu Park Road, construct cycle paths",4000000,4500000,2250000,2250000,0,500000,4000000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-23.149251,150.74409
Fitzroy,Livingstone Shire,Local,2356170,"Artillery and Greenlake Road (Sandringham), widen and seal",6184000,7729000,6184000,0,1545000,0,3800000,2384000,0,0,0,0,0,,,1,-23.21429,150.548641
Fitzroy,Livingstone Shire,Local,2738672,"Normanby Street (Stage 1 and 2), upgrade to urban sub-arterial standard",2415000,7816879,0,3098679,4718200,683679,805000,805000,805000,805000,805000,0,0,,,1,-23.127588,150.744626
Fitzroy,Rockhampton Regional,National,3057688,"Bruce Highway (Benaraby - Rockhampton), Bajool, undertake safety upgrades",9308000,9308000,0,9308000,0,0,640000,8668000,0,0,0,0,0,Safer Roads Sooner Program,,1,-23.643974,150.635445
Fitzroy,Rockhampton Regional,National,3025557,"Bruce Highway (Benaraby - Rockhampton), Upper Dawson Road to Palmer Street, upgrade cyclist and pedestrian facilities",3800000,3900000,1950000,1950000,0,100000,3800000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-23.405765,150.501996
Fitzroy,Rockhampton Regional,National,854972,"Bruce Highway (Rockhampton - St Lawrence) and Bolsover Street, upgrade intersection",33765723,37616250,30093000,7523250,0,3850527,2730142,17180000,13855581,13855581,13855581,0,0,"The project is in the pre-business case stage, with scope, cost and timing subject to further planning and business case development, and consideration.",,1,-23.371987,150.507243
Fitzroy,Rockhampton Regional,National,3026621,"Bruce Highway (Rockhampton - St Lawrence), Stockland Shopping Centre Access, raised pedestrian crossing",1340000,1500000,750000,750000,0,160000,1340000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-23.35291,150.521939
Fitzroy,Rockhampton Regional,National,1167108,Rockhampton Ring Road,989517290,1730000000,1199500000,530500000,0,252080789,191200000,130000000,668317290,668317290,285427290,382890000,488401921,,https://www.tmr.qld.gov.au/projects/rockhampton-ring-road ,1,-23.35295356,150.473351
Fitzroy,Rockhampton Regional,State,3026592,"Rockhampton - Yeppoon Road, Access 1 to Access 4, undertake safety improvements",3150000,3400000,1700000,1700000,0,250000,3150000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-23.290433,150.550168
Fitzroy,Rockhampton Regional,State,3024782,"Rockhampton - Yeppoon Road, Musgrave Street, upgrade cyclist and pedestrian facilities",9750000,10200000,5100000,5100000,0,450000,9750000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-23.362116,150.522771
Fitzroy,Rockhampton Regional,State,3248405,"Rockhampton Railyards Rejuvenation, capital upgrades",14331000,14331000,0,14331000,0,0,13152000,408000,771000,771000,314000,457000,0,,,1,-23.38889,150.51356
Fitzroy,Rockhampton Regional,State,2405637,"Rockhampton Railyards, rail maintenance, manufacturing and logistics centre",1392545,33400000,0,33385261,14739,32007455,1392545,0,0,0,0,0,0,,,1,-23.38889,150.51356
Fitzroy,Rockhampton Regional,State,3248404,"Rockhampton Railyards, site management and high priority remediation works",9401000,9401000,0,9401000,0,0,9401000,0,0,0,0,0,0,,,1,-23.38889,150.51356
Fitzroy,Rockhampton Regional,Local,2591360,"Alexandra Street, Wade Street and McLaughlin Street, Parkhurst Industrial Area, upgrade roads and intersections",2840066,6147000,4917600,0,1229400,2077534,0,2840066,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-23.321583,150.501481
Fitzroy,Rockhampton Regional,Local,2356110,"Glenroy Road (Mornish), widen, seal and upgrade floodway",19640000,25000000,20000000,0,5000000,360000,2600000,2640000,14400000,14400000,7360000,7040000,0,,,1,-23.160618,150.043497
Fitzroy,Rockhampton Regional,Local,3056151,"Rodboro Street (McKean Street to Water Street) (Berserker), traffic calming scheme",1270500,1270500,1270500,0,0,0,1270500,0,0,0,0,0,0,Australian Government Black Spot Program,,1,-23.369316,150.530846
Fitzroy,Rockhampton Regional,Local,2726339,"Stanwell - Waroula Road, various locations, upgrade culverts and widen and overlay pavement",853400,2133500,1706800,0,426700,853400,853400,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,1,-23.364818,150.244026
Fitzroy,Various local governments,National,1454811,"Bruce Highway (Rockhampton - St Lawrence), various locations, upgrade bridges",1241434,3960000,3168000,792000,0,2718566,1241434,0,0,0,0,0,0,,,0,,
Fitzroy,Various local governments,National,2603662,"Bruce Highway, Gladstone to Rockhampton, funding commitment",101866723,250000000,200000000,50000000,0,6600335,1399665,16000000,84467058,84467058,73267058,11200000,141532942,Project details and timing subject to further planning and negotiation with the Australian Government.,,1,-23.699261,150.788532
Fitzroy,Various local governments,State,3088268,"Rest area and stopping places management, various locations",2920000,3140000,0,3140000,0,220000,2920000,0,0,0,0,0,0,,,0,,
Fitzroy,Various local governments,State,1603161,"Townsville to Roma corridor upgrade, Springsure to Tambo, funding commitment",19440521,19440521,15570000,3870521,0,0,0,0,19440521,19440521,5440521,14000000,0,,,0,,
Fitzroy,Other works,,,Construction Works,16144704,0,10274252,5870452,0,0,15352485,560000,232219,232219,0,232219,0,,,0,,
Fitzroy,Other works,,,Corridor and Minor Safety Enhancements,15488240,0,1678988,13809252,0,0,4739758,5191234,5557248,5557248,4263252,1293996,0,,,0,,
Fitzroy,Other works,,,"Corridor, Roadway and Structures Management",4072072,0,0,4072072,0,0,946864,1021140,2104068,2104068,1027891,1076177,0,,,0,,
Fitzroy,Other works,,,Local Government Transport Development,22339569,0,2563089,19776480,0,0,8658106,3815209,9866254,9866254,4158022,5708232,0,,,0,,
Fitzroy,Other Works,,,Natural Disaster Operational,200000,0,150000,50000,0,0,200000,0,0,0,0,0,0,,,0,,
Fitzroy,Other works,,,Natural Disaster Rehabilitation and Replacement,4741358,0,3477127,1264231,0,0,2132746,2608612,0,0,0,0,0,,,0,,
Fitzroy,Other works,,,Programmed Maintenance,88680659,0,4968674,83711985,0,0,15526624,23927169,49226866,49226866,24062295,25164571,0,,,0,,
Fitzroy,Other works,,,Rehabilitation,83120366,0,4478282,78642084,0,0,25956676,18307171,38856519,38856519,19009551,19846968,0,,,0,,
Fitzroy,Other works,,,Routine Maintenance,132660488,0,6870021,125790467,0,0,30811551,31886437,69962500,69962500,33601314,36361186,0,,,0,,
Fitzroy,Other works,,,Traffic Management Enhancements,1300000,0,0,1300000,0,0,100000,1200000,0,0,0,0,0,,,0,,
Fitzroy,Other works,,,Traffic Operations,2392000,0,184000,2208000,0,0,2392000,0,0,0,0,0,0,,,0,,
Fitzroy,Other works,,,Transport Planning,6858162,0,0,6858162,0,0,2132999,2865163,1860000,1860000,1660000,200000,0,,,0,,
Central West,Barcaldine Regional,State,3209354,"Alpha - Tambo Road, pave and seal",7000000,7000000,5600000,1400000,0,0,750000,5000000,1250000,1250000,1250000,0,0,Australian Government Queensland Beef Corridors Program,,1,-24.268465,146.41973
Central West,Barcaldine Regional,State,2109074,"Barcaldine - Aramac Road (Section 1), rehabilitate and widen",1177275,2377275,0,2377275,0,1200000,1177275,0,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-23.360874,145.238177
Central West,Barcaldine Regional,State,2983865,"Barcaldine - Aramac Road (Section 2), pavement rehabilitation",1022725,3022725,0,3022725,0,2000000,1022725,0,0,0,0,0,0,,,1,-23.32662,145.237797
Central West,Barcaldine Regional,State,3153124,"Barcaldine - Aramac Road (Section 3), rehabilitate and widen",2377275,2377275,0,2377275,0,0,0,0,2377275,2377275,2377275,0,0,Transport Infrastructure Development Scheme,,1,-23.349989,145.234382
Central West,Barcaldine Regional,State,2337706,"Capricorn Highway (Emerald - Alpha) (Package 2), strengthen and widen pavement, funding commitment",44500000,45000000,36000000,9000000,0,500000,3000000,9000000,32500000,32500000,9000000,23500000,0,Project details and timing subject to further planning and negotiation with the Australian Government.,,1,-23.680206,147.048506
Central West,Barcaldine Regional,State,3157860,"Clermont - Alpha Road, pave and seal",5000000,5000000,4000000,1000000,0,0,1000000,3500000,500000,500000,500000,0,0,Australian Government Queensland Beef Corridors Program,,1,-23.070051,146.928993
Central West,Barcaldine Regional,State,2745847,"Landsborough Highway (Barcaldine - Longreach), Lagoon Creek, construct shared path",1220000,1370000,0,1370000,0,150000,500000,720000,0,0,0,0,0,,,1,-23.551809,145.279416
Central West,Barcoo Shire,State,2983419,"Diamantina Developmental Road (Quilpie - Windorah) (Section 2), pavement rehabilitation",3314622,4500000,0,4500000,0,1185378,3314622,0,0,0,0,0,0,,,1,-25.400704,142.667332
Central West,Barcoo Shire,State,2587385,"Diamantina Developmental Road (Quilpie - Windorah), Long Crossing to Windorah (Section 1), widen pavement",2161508,2377275,0,2377275,0,215767,2161508,0,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-25.39994,142.668011
Central West,Barcoo Shire,Local,2691176,"Bimerah - Isisford Road (Stonehenge), subgrade stabilisation and formation resheeting",2000000,5000000,4000000,0,1000000,2000000,2000000,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,1,-25.142278,142.260513
Central West,Blackall Tambo Regional,National,2605555,"Landsborough Highway (Tambo - Blackall), rehabilitate pavement",4121378,5621378,0,5621378,0,1500000,4121378,0,0,0,0,0,0,,,1,-24.617454,145.852097
Central West,Blackall Tambo Regional,State,3153611,"Blackall - Jericho Road, rehabilitate and widen",2377275,2377275,0,2377275,0,0,0,2377275,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-23.867135,145.849877
Central West,Boulia Shire,State,3015377,"Diamantina Developmental Road (Dajarra - Mount Isa), Waverly Creek northern approach, undertake safety improvements",1415767,1415767,0,1415767,0,0,1415767,0,0,0,0,0,0,Transport Infrastructure Development Scheme,,1,-21.416622,139.125224
Central West,Boulia Shire,State,3027035,"Diamantina Developmental Road (Dajarra - Mount Isa), overtaking opportunity",2440000,2500000,1250000,1250000,0,60000,2440000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-21.49306,139.168249
Central West,Boulia Shire,Local,2353432,"Donohue Highway (Boulia - Tobermorey), progressive sealing",29062500,41500000,41500000,0,0,2437500,6562500,5000000,17500000,17500000,5000000,12500000,10000000,Project details and timing are subject to negotiation between the Australian Government and Boulia Shire Council.,,1,-22.625107,138.60915
Central West,Diamantina Shire,State,2691106,"Birdsville Developmental Road (Morney - Birdsville), formation resheeting",800000,1600000,1600000,0,0,800000,800000,0,0,0,0,0,0,Australian Government Remote Roads Upgrade Pilot Program,,1,-25.732415,139.876037
Central West,Diamantina Shire,State,3154146,"Eyre Developmental Road (Bedourie - Birdsville), pave and seal",2677275,2677275,0,2677275,0,0,0,2527275,150000,150000,150000,0,0,Transport Infrastructure Development Scheme,,1,-24.819255,139.611296
Central West,Longreach Regional,State,3154142,"Thomson Developmental Road (Jundah - Longreach), rehabilitate and widen",2377275,2377275,0,2377275,0,0,0,0,2377275,2377275,0,2377275,0,Transport Infrastructure Development Scheme,,1,-23.446879,144.242889
